순번	상영관	좌석	예매여부
864	6	K9	0
865	6	K10	0
866	6	K11	0
867	6	K12	0
868	6	L1	0
869	6	L2	0
870	6	L3	0
871	6	L4	0
872	6	L5	0
873	6	L6	0
874	6	L7	0
875	6	L8	0
876	6	L9	0
877	6	L10	0
878	6	L11	0
879	6	L12	0
880	6	M1	0
881	6	M2	0
882	6	M3	0
883	6	M4	0
884	6	M9	0
885	6	M10	0
886	6	M11	0
887	6	M12	0
